,brand_id,title
0,986,Aignep
1,4990,GMT
2,891,Airtac
3,445,BRINKMANN
4,17000,Weiss Technik
7,4750,ARDETEM SFERE
8,5581,Domino
9,18077,KAYDON
10,3173,SACEMI-GAMAR
11,23,BALLUFF
13,2205,FESTO
18,11110,AEP transducers
19,4712,Schwer Fittings
21,2232,Erhardt+Leimer
22,1631,GEA Grasso
51,128,SMC \/SMC Pneumatik
52,318,AIRTEC Pneumatic
54,100,Gestra
55,926,OMEGA \/ OMEGA Engineering
66,11319,Sata
76,14074,VEAB
82,10817,Liverani
83,9522,VIP FAN \/ VIP Air Empowerment
84,3245,ESME
85,4107,Sigma
86,604,SKF
94,2822,CEAG (Brand of Eaton)
95,2736,Pedrollo
96,13435,Bosch Rexroth Industriehydraulik
98,2233,Brevini (brand of DANA Group)
99,12,Euchner
100,950,VEM
102,258,SPECK Pumpen
103,5470,Selema (brand of FIMI Group)
104,2235,SBA-TrafoTech
105,15768,Dayton Electric
106,10729,Griswold
110,7782,Showa Denki
111,679,STEUTE
112,27,Keyence
113,37,Datalogic
115,8167,Delbag (brand of Hengst)
116,14503,Kartell LABWARE
118,856,MTL \/ Measurement Technology Limited (brand of Eaton)
121,11,Carlo Gavazzi
122,10416,Enerdoor
123,4965,R. STAHL
124,11942,CAST
126,41,Leuze electronic
127,3811,HAHN GASFEDERN
128,13450,KEB Automation
129,11926,Aumüller \/ Aumueller (ferralux®)
130,13441,Samchully
133,8288,TRW-Ehrenreich
137,9256,Thytronic
138,8774,Gorman-Rupp Pumps
140,4450,CEMB
141,8687,HAZEMAG & EPR
142,5659,Linz Electric
143,102,NORGREN \/NORGREN HERION \/ HERION
144,19792,AIKRON
145,5482,Edmund Optics
148,941,RINGSPANN
150,15144,Monacor
152,3307,ERO Electronic (brand of Eurotherm)
153,7915,CENTA Antriebe (brand of Rexnord)
154,978,Metal Work
156,479,Intra-Automation
157,12135,ALGI Alfred Giehl
158,949,TEE Electric Motors
159,10823,Movex
162,3531,JVL Drives
163,430,Rechner
164,5408,Kuebler \/ Kübler
165,4747,THALES
166,6440,GRÜN-Pumpen \/ GRUN-Pumpen
167,4604,Schaltbau
168,983,Walther Praezision
170,6794,CONTA-CLIP
