request_id,total,error
request_id,total,error
501108,0,There is no irg@famaga.de in db
503783,0,
request_id,total,error
request_id,total,error
501108,0,There is no irg@famaga.de in db
503783,1,
501008,2,
504300,0,There is no gab@famaga-group.com in db
504343,0,There is no gab@famaga-group.com in db
503936,0,There is no esh@famaga.de in db
504365,0,There is no tsh@famaga.de in db
request_id,total,error
request_id,total,error
503188,1,
504130,2,
501108,0,There is no irg@famaga.de in db
503783,0,
501008,2,
504300,0,There is no gab@famaga-group.com in db
504343,0,There is no gab@famaga-group.com in db
503936,0,There is no esh@famaga.de in db
504365,0,There is no tsh@famaga.de in db
499881,2,
503758,0,There is no gc@famaga.de in db
503246,0,There is no irg@famaga.de in db
502619,1,
504333,0,There is no tsh@famaga.de in db
504350,0,There is no gc@famaga.de in db
504194,2,
504331,0,
504301,1,
485462,2,
504329,0,There is no gab@famaga-group.com in db
501082,0,There is no gc@famaga.de in db
503471,0,Wrong password for alg@famaga.ro
502535,1,
504267,0,There is no tsh@famaga.de in db
504298,0,Wrong password for alg@famaga.ro
504307,0,Wrong password for alg@famaga.ro
503851,2,
504281,0,
503868,2,
495414,1,
503907,0,Wrong password for alg@famaga.ro
504314,0,
503034,0,There is no tsh@famaga.de in db
502764,2,
502471,5,
504186,0,
498754,0,
502236,2,
504209,0,Wrong password for alg@famaga.ro
503797,0,Wrong password for alg@famaga.ro
503637,0,There is no gab@famaga-group.com in db
501441,1,
503574,1,
500187,0,There is no esh@famaga.de in db
503860,2,
504237,0,There is no gab@famaga-group.com in db
503649,0,
503945,0,There is no esh@famaga.de in db
504003,2,
501806,1,
503237,2,
504308,0,
504136,0,There is no rta@famaga.com in db
503310,1,
502793,1,
503804,0,Wrong password for alg@famaga.ro
502821,1,
502892,2,
504282,0,
503722,2,
503631,1,
502921,5,
503769,0,
503558,1,
504202,2,
502809,0,There is no rta@famaga.com in db
500007,0,Wrong password for alg@famaga.ro
504232,0,There is no ltb@famaga.de in db
502633,0,
502997,2,
503749,1,
504160,0,
495240,2,
503400,1,
503909,1,
502422,1,
500411,3,
502368,0,There is no sid@famaga.ro in db
494959,2,
503516,0,There is no gab@famaga-group.com in db
503433,1,
502855,1,
499023,1,
504049,0,There is no gab@famaga-group.com in db
504273,0,
504272,0,
502905,2,
503775,1,
493669,4,
503451,1,
501255,1,
502882,1,
